СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,БАРИСТА
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",FALSE
,,Включить кофемашину,FALSE
,,Открыть смену,FALSE
,,Включить музыку,FALSE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,FALSE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",FALSE
,,Заявка по десертам до 11:00 ,FALSE

,"обед
с 10:00 до 17:00",Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,FALSE
,,"Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой:

Если на смене Раннер, то поставить ему задачу по сборке перемещение (передать ему список). После сборки Раннером обязательно (!) проверить по списку",FALSE
,,"Проверить за Официантом выполнение задач: 
• Собрано перемещение для Самокиша и Луговой
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",FALSE
,,Протереть черные полки за баром – лицевая часть гостя,FALSE
,,"Дополнить банки за баром (матча, чай, сахар/орешки)",FALSE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",FALSE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря,FALSE
,,После отключения кофемашины убрать стаканы и протереть поверхность от пыли,FALSE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода
",FALSE
,,Застирать тряпки от стимера и для рабочих поверхностей,FALSE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",FALSE
,,"Поставить на заряд кассовые терминалы, настольную лампу, телефон (если он разряжен)",FALSE
,,Проверить заднюю дверь и окно на закрытие,FALSE
,,"Собрать и выкинуть весь мусор, включая в персональском туалете",FALSE
,,Отправить отчет руководителю (обязательно голосовое),FALSE
,,"Дихлофос: обработать в основном зале все углы, пространство за ледогенератором и по периметру",FALSE
,,Включить сигнализацию,FALSE


,БАРИСТА
,,Ч Е Т В Е Р Г
Ч Е Т В Е Р Г,до открытия,Выключить сигнализацию,FALSE
,,Включить освещение,FALSE
,,Включить гирлянды на спокойный режим без мерцания,FALSE
,,Проверить чистоту зала,FALSE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",FALSE
,,Включить кофемашину,FALSE
,,Открыть смену,FALSE
,,Включить музыку,FALSE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,FALSE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",FALSE
,,Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,FALSE

,"обед
с 10:00 до 17:00","Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой:

Если на смене Раннер, то поставить ему задачу по сборке перемещение (передать ему список). После сборки Раннером обязательно (!) проверить по списку",FALSE
,,"Проверить за Официантом выполнение задач: 
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",FALSE

,"вечер
с 17:00 до 21:00",При составлении заявки в чат «Кухня» проверить все допники (соусы) и написать лишнее кол-во в заявку,FALSE
,,Очистить дверные проемы витрины и запшыкать силиконой смазкой,FALSE
,,Замыть кофемашину и кофейного инвентаря,FALSE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода",FALSE
,,Застирать тряпки от стимера и для рабочих поверхностей,FALSE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",FALSE
,,"Поставить на заряд кассовые терминалы, настольную лампу, телефон (если он разряжен)",FALSE
,,Проверить заднюю дверь и окно на закрытие,FALSE
,,"Собрать и выкинуть весь мусор, включая в персональском туалете",FALSE
,,Отправить отчет руководителю (обязательно голосовое),FALSE
,,"Дихлофос: обработать в основном зале все углы, пространство за ледогенератором и по периметру",FALSE
,,Включить сигнализацию,FALSE


,БАРИСТА
,,П Я Т Н И Ц А
П Я Т Н И Ц А,до открытия,Выключить сигнализацию,FALSE
,,Включить освещение,FALSE
,,Включить гирлянды на спокойный режим без мерцания,FALSE
,,Проверить чистоту зала,FALSE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",FALSE
,,Включить кофемашину,FALSE
,,Открыть смену,FALSE
,,Включить музыку,FALSE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,FALSE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",FALSE
,,Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,FALSE
,,Заявка по десертам до 11:00 ,FALSE

,"обед
с 10:00 до 17:00","Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой:

Если на смене Раннер, то поставить ему задачу по сборке перемещение (передать ему список). После сборки Раннером обязательно (!) проверить по списку",FALSE
,,"Проверить за Официантом выполнение задач: 
• Собрано перемещение для Самокиша и Луговой
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",FALSE
,,Протереть настенное меню и полку с сиропами и банками чая,FALSE
,,Протереть черные полки за баром и навести порядок - со стороны кассы,FALSE
,,"Холодильник за баром 
• помыть внутри 
• помыть снаружи",FALSE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря,FALSE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода
",FALSE
,,Застирать тряпки от стимера и для рабочих поверхностей,FALSE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",FALSE
,,"Поставить на заряд кассовые терминалы, настольную лампу, телефон (если он разряжен)",FALSE
,,Проверить заднюю дверь и окно на закрытие,FALSE
,,"Собрать и выкинуть весь мусор, включая в персональском туалете",FALSE
,,Отправить отчет руководителю (обязательно голосовое),FALSE
,,"Дихлофос: обработать в основном зале все углы, пространство за ледогенератором и по периметру",FALSE
,,Включить сигнализацию,FALSE


,БАРИСТА
,,С У Б Б О Т А
С У Б Б О Т А,до открытия,Выключить сигнализацию,FALSE
,,Включить освещение,FALSE
,,Включить гирлянды на спокойный режим без мерцания,FALSE
,,Проверить чистоту зала,FALSE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",FALSE
,,Включить кофемашину,FALSE
,,Открыть смену,FALSE
,,Включить музыку,FALSE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,FALSE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",FALSE
,,"Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой",FALSE

,"обед
с 10:00 до 17:00","Проверить за Официантом выполнение задач: 
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",FALSE
,,Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,FALSE

,"вечер
с 17:00 до 21:00",Замыть кофемашину и кофейного инвентаря,FALSE
,,После отключения кофемашины убрать стаканы и протереть поверхность от пыли,FALSE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода
",FALSE
,,Застирать тряпки от стимера и для рабочих поверхностей,FALSE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",FALSE
,,"Поставить на заряд кассовые терминалы, настольную лампу, телефон (если он разряжен)",FALSE
,,Проверить заднюю дверь и окно на закрытие,FALSE
,,"Собрать и выкинуть весь мусор, включая в персональском туалете",FALSE
,,Отправить отчет руководителю (обязательно голосовое),FALSE
,,"Дихлофос: обработать в основном зале все углы, пространство за ледогенератором и по периметру",FALSE
,,Включить сигнализацию,FALSE


,БАРИСТА
,,В О С К Р Е С Е Н Ь Е
В О С К Р Е С Е Н Ь Е,до открытия,Выключить сигнализацию,FALSE
,,Включить освещение,FALSE
,,Включить гирлянды на спокойный режим без мерцания,FALSE
,,Проверить чистоту зала,FALSE
,,"Проветрить помещение в любое время года, открыв дверь на 5-10 минут",FALSE
,,Включить кофемашину,FALSE
,,Открыть смену,FALSE
,,Включить музыку,FALSE

,После открытия с 8:00,Ознакомиться со списком скидочных позиций по витрине,FALSE
,,"с ПН по ПТ - составить план заявок на день, учитывая график заявок в чате ""Поставщики"" (ссылку на чат прикрепить)",FALSE
,,"Принять заявки в чате кофейни ""Перемещение"" с Самокиша и Луговой:

Если на смене Раннер, то поставить ему задачу по сборке перемещение (передать ему список). После сборки Раннером обязательно (!) проверить по списку",FALSE
,,"Проверить за Официантом выполнение задач: 
• Собрано перемещение для Самокиша и Луговой
• Расставлены позиции на стеллажи в зале: зерно, шоколад, чай 
• Выкладка позиций стоит ровно ",FALSE
,,"Проверить в кофейне лампочки: перегоревшие поменять, при отсутствии запасных – написать в закуп",FALSE
,,"Проверить аптечку на соответствие содержимого со списком (внутри аптечки). При отсутствии какого-либо средства – отправить официанта за покупкой в ближайшую аптеку. Если в аптеке нет, отправить заявку на закуп в чат telegram «Закуп продуктов» ",FALSE

,"обед
с 10:00 до 17:00",Проверить все заготовки на наличие. Варенье сварить с запасом на следующий день,FALSE
,,"Убраться в коробках с расходниками:
* коробка с трубочками, сахар стиком
* коробка с пакетами
* коробка с перчатками, вилками
* коробка с орешками, трост. сахаром
* коробка с пачками чая
* коробка и органайзеры под кассой",FALSE
,,"Проверить ротацию сока, альт молока",FALSE
,,"Микроволновка: протереть/помыть внутри и снаружи от пятен.
Стол за баром протереть, расставить всё аккуратно, убрать что не нужно на подходящее место",FALSE
,,"Помыть внутри и снаружи ледогенератор (задача выполняется 1 раз в месяц! – не пропускаем)

*при отправлении отчета сменщику, в чате указываем что данный пункт выполнен",FALSE
,,"Отодвинуть ледогенератор, холодильник – почистить все за ними, протереть мусорные баки",FALSE

,"вечер
с 17:00 до 21:00",При составлении заявки в чат «Кухня» проверить все допники (соусы) и написать лишнее кол-во в заявку,FALSE
,,Замыть кофемашину и кофейного инвентаря,FALSE
,,"Протереть все поверхности: 
* кофемашина
* ринзер
* кассовые аппараты
* весы
* гриль
* холодильники
* замыть поддон от термопода",FALSE
,,Застирать тряпки от стимера и для рабочих поверхностей,FALSE
,,"Выключить: музыку, кондиционер, освещение и всё оборудование",FALSE
,,"Поставить на заряд кассовые терминалы, настольную лампу, телефон (если он разряжен)",FALSE
,,Проверить заднюю дверь и окно на закрытие,FALSE
,,"Собрать и выкинуть весь мусор, включая в персональском туалете",FALSE
,,Отправить отчет руководителю (обязательно голосовое),FALSE
,,"Дихлофос: обработать в основном зале все углы, пространство за ледогенератором и по периметру",FALSE
,,Включить сигнализацию,FALSE
