СМОТРИТЕ  НА  ЧИСТОТУ  ГЛАЗАМИ  ГОСТЯ
,ОФИЦИАНТ
П О Н Е Д Е Л Ь Н И К,,П О Н Е Д Е Л Ь Н И К
,,"Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,"Протереть барную зону: полка с дрипами, горячим шоколадом
полка с соком, водой, пряниками",TRUE
,,"Проверить график полива цветов в приложение Lyrata (на рабочем телефоне)
Полить цветы согласно графику.  Важно! Перед поливом проверь землю на сухость.
Проверить цветы на улице, при необходимости полить (летне-весенний период)

Поливаем лейкой! Для улицы используем большую лейку",TRUE
,,"Протереть световые источники в кофейне, кондиционер",TRUE

,"обед
с 10:00 до 17:00","Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают

пример стеллаж 1 
пример стеллаж 2",TRUE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список или фото чая на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Убраться на складе:
* протереть стеллажи (если пыльные)
* разложить аккуратно расходники
* при отсутствии зерна/шоколада на стеллаже – доложить их из коробки",TRUE
,,"Собрать перемещение для Самокиша и Луговой при наличии заявок в чате ""Перемещения"". 

Отправить фото склада в общий чат тегнув @zhannalim (неважно собрано перемещение или нет, фото отправляем в любом случае)

*на фото нужно, чтобы был виден стеллаж с зерном и коробки с зерном (если не умещается в одно фото – пришли несколько несколько)",TRUE
,,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,"Проверить черные ценники на дубли и соответствие с ценами. При необходимости стереть дубли, либо скорректировать цену",TRUE
,,"Витрина: еда принята, сроки проставлены и выложена по ротации
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",TRUE

,"вечер
с 17:00 до 21:00","Проверить наличие позиций на скидки, при необходимости на третьи сутки проставить скидку в конце смены",TRUE
,,"Протереть витрину снаружи, а внутри по мере загрязнения (либо перед сдачей смены)",TRUE
,,"Пополнить витрину едой / десертами 
Важно! Мы это делаем, чтобы с утра витрина выглядела изобильной и наполненной. А также это необходимо для сменщика, который после тебя открывает смену",TRUE
,,Наполнить расходники за баром,TRUE
,,Наполнить расходники для гостей и салфетницы на столах,TRUE
,,"Проверить в туалетной зоне наполнение в диспенсерах: мыло, бумажные полотенца, т/б",TRUE
,,"Проверить наполнение зоны бара на продажу гостям: сок, вода 0,5, батончики, пряники. При необходимости пополнить",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,"Очистить кресла от крошек (особенно в зазорах, где спинка переходит в седушку)",TRUE
,,Протереть ножки столов и стульев,TRUE
,,"Замыть гостевую туалетную зону (отмыть моющим средством унитаз, раковины, зеркало), в йоршик залить доместос",TRUE
,,При подметании/мытье пола обязательно очищать металлические пороги от грязи. А также под ковриком при входе. При загрязнении коврик помыть в душевой,TRUE


,ОФИЦИАНТ
Ч Е Т В Е Р Г,,Ч Е Т В Е Р Г
,до открытия,Протереть фасад / окна с внешней стороны и входную дверь с ручкой внешне/изнутри,TRUE
,,"Проверить туалет на чистоту, при необходимости помыть",TRUE
,,Проверить витрину на чистоту: протереть снаружи при необходим﻿ости,TRUE
,,"Проверить столы на чистоту, наполненность салфетниц и расходников для гостей",TRUE
,,Ознакомиться с ассортиментом витрины и с позициями по скидке,TRUE

,После открытия с 8:00,Протереть подоконники на улице и подмести на улице у входа,TRUE
,,"Проверить в витрине еду на сбор конденсата. Конденсат протирать каждое утро и в течение дня, либо менять местами позиции ставить нижний на верхний.",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,Протереть стеллаж с пачками напротив бара и кафель под стеллажом,TRUE
,,"Проверить график полива цветов в приложение Lyrata (на рабочем телефоне)
Полить цветы согласно графику.  Важно! Перед поливом проверь землю на сухость.
Проверить цветы на улице, при необходимости полить (летне-весенний период)

Поливаем лейкой! Для улицы используем большую лейку",TRUE
,,Проверить зерно / шоколад / чай на стеллажах – доложить со склада или из коробок. Коробки подписать,TRUE

,"обед
с 10:00 до 17:00","Проверить товарную витрину на внешний вид: всё стоит ровно с примерно одинаковым расстоянием друг к другу зерно / шоколад / чай. В конце ряда упаковки не навалены и не выпячивают

пример стеллаж 1 
пример стеллаж 2",TRUE
,,"Пополнить на стеллажах зерно в упаковках 250 гр, 1 кг 

*Перед тем, как пополнять – сделайте список или фото зерна на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах шоколад 

*Перед тем, как пополнять – сделайте список или фото шоколада на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Пополнить на стеллажах чай 

*Перед тем, как пополнять – сделайте список или фото чая на стеллажах и сравните с наличием на складе на полках и в коробках. 
**После того, как возьмете содержимое из коробок – обновите данные маркером на коробке! ",TRUE
,,"Проверить на чистоту полы в кофейне (каждый час-полтора). При необходимости подмести, протереть ",TRUE
,,Наполнить расходники для гостей (органайзер),TRUE
,,"Наполнить зону бара на продажу гостям: дрипы, чай, сок, вода 0,5, батончики",TRUE
,,Протереть лицевую часть бара,TRUE
,,"Проверить зону туалета на чистоту: унитаз, раковины, зеркало",TRUE
,,"Проверить рабочий телефон на наличие пропущенных звонков, сообщений в telegram. При необходимости перезвонить или ответить в telegram клиенту",TRUE
,,В летний период: сбор заготок на смузи,TRUE
,,"Витрина: десерты выложены по ротации
пример, как должна выглядеть витрина: все черные ценники стоят напротив десертов; все позиции без конденсата и стоят по одной линии, белым ценником к гостю",TRUE

