По свечам 85% с каждой продажи

,Наименование / период,"Цена за 1 шт. 
(розница)",Себес. за 1 шт.,Продано (в шт.),Итоговая сумма (руб)
,"Тургенева 
с 1 по 13.10 (включительно)"
1,"Свеча Маленькая ""S""",1100,935,3,2805
2,Свеча XL,2000,1700,1,1700
3,"Свеча Средняя ""М""",1500,1275,2,2550
4,"Свеча Большая ""L""",1700,1445,1,1445
5,Тарелка маленькая,350,"297,5",1,"297,5"
,Итого Тургенева: ,,,,8 500 ₽

,"Луговая
с 1 по 13.10 (включительно)"
1,"Свеча Маленькая ""S""",1100,935,3,2805
2,Свеча XL,2000,1700,0,0
3,"Свеча Средняя ""М""",1500,1275,1,1275
4,Свеча Большая Ребристая,1700,1445,0,0
5,Стакан,600,510,0,0
6,Тарелка маленькая,350,"297,5",1,"297,5"
7,Тарелка облако,550,"467,5",0,0
,Итого Луговая: ,,,,4 378 ₽
,ИТОГОВАЯ СУММА (руб): ,,,,12 878 ₽
